week_number,start_date,county,fips,cases,deaths
11,2020-03-16,Tippecanoe,18157,7,0
12,2020-03-23,Tippecanoe,18157,46,3
13,2020-03-30,Tippecanoe,18157,148,7
14,2020-04-06,Tippecanoe,18157,278,7
15,2020-04-13,Tippecanoe,18157,352,12
16,2020-04-20,Tippecanoe,18157,448,14
17,2020-04-27,Tippecanoe,18157,790,14
18,2020-05-04,Tippecanoe,18157,1442,14
19,2020-05-11,Tippecanoe,18157,1903,14
20,2020-05-18,Tippecanoe,18157,2379,19
21,2020-05-25,Tippecanoe,18157,2709,21
22,2020-06-01,Tippecanoe,18157,3024,28
23,2020-06-08,Tippecanoe,18157,3299,35
24,2020-06-15,Tippecanoe,18157,3571,49
25,2020-06-22,Tippecanoe,18157,3987,62
26,2020-06-29,Tippecanoe,18157,4663,63
27,2020-07-06,Tippecanoe,18157,5260,69
28,2020-07-13,Tippecanoe,18157,5770,76
29,2020-07-20,Tippecanoe,18157,6498,82
30,2020-07-27,Tippecanoe,18157,7279,84
31,2020-08-03,Tippecanoe,18157,8088,84
32,2020-08-10,Tippecanoe,18157,8934,88
33,2020-08-17,Tippecanoe,18157,9765,94
34,2020-08-24,Tippecanoe,18157,10625,98
35,2020-08-31,Tippecanoe,18157,11578,98
36,2020-09-07,Tippecanoe,18157,12998,98
37,2020-09-14,Tippecanoe,18157,14779,98
38,2020-09-21,Tippecanoe,18157,16579,98
39,2020-09-28,Tippecanoe,18157,18835,98
40,2020-10-05,Tippecanoe,18157,20849,98
41,2020-10-12,Tippecanoe,18157,23218,100
42,2020-10-19,Tippecanoe,18157,25872,109
43,2020-10-26,Tippecanoe,18157,29641,119
